Understanding the learn drive and the mechanism by which it supposedly declines over time is essential for optimizing education|Piotr Wozniak|https://supermemo.guru/wiki/Schools_suppress_the_learn_drive|Schools suppress the learn drive
Passive pre-programmed learning at school suppresses the learn drive.|Piotr Wozniak|https://supermemo.guru/wiki/Schools_suppress_the_learn_drive|Schools suppress the learn drive
Providing children with answers to their own questions can also be suppressive for the learn drive. In contrast, leaving questions unanswered may propel the young brain into rewarding explorations that will feed further progress.|Piotr Wozniak|https://supermemo.guru/wiki/Schools_suppress_the_learn_drive|Schools suppress the learn drive
Incremental learning is the most powerful activator of the learn drive|Piotr Wozniak|https://supermemo.guru/wiki/Schools_suppress_the_learn_drive|Schools suppress the learn drive
SuperMemo with no new material is similar to boring classes at school. Both suppress the learn drive|Piotr Wozniak|https://supermemo.guru/wiki/Schools_suppress_the_learn_drive|Schools suppress the learn drive
Love of learning can be suppressed quite effectively, and then it can also be restored and revived|Piotr Wozniak|https://supermemo.guru/wiki/Schools_suppress_the_learn_drive|Schools suppress the learn drive
The learn drive is a natural tendency of the brain to seek new information. The learn drive is generated by a guidance system hard-wired in the brain. This guidance system activates the reward centers upon detecting novel patterns in memory storage.|Piotr Wozniak|https://supermemo.guru/wiki/Learn_drive|Learn drive
The learn drive is a natural instinct to acquire new knowledge. It is present in all healthy students. It is a good force that changes the world.|Piotr Wozniak|https://supermemo.guru/wiki/Learn_drive|Learn drive
Education is based on wrong principles and a wrong design (Piotr Wozniak, 2017)|Piotr Wozniak|https://supermemo.guru/wiki/Problem_of_Schooling|Problem of Schooling
The sad truth is that once committed to schooling, kids need to be lead on a leash. That is the price we pay for the invention of the Prussian education system|Piotr Wozniak|https://supermemo.guru/wiki/Abandon_early_math_instruction!|Abandon early math instruction!
All forms of coercion in education should be eliminated|Piotr Wozniak|https://supermemo.guru/wiki/Abandon_early_math_instruction!|Abandon early math instruction!
Misemployment of the learn drive, the genius neural mechanisms developed in the course of evolution, is the key tragedy of modern mass education|Piotr Wozniak|https://supermemo.guru/wiki/Abandon_early_math_instruction!|Abandon early math instruction!
The brain that goes through years of schooling is poorly prepared for problem solving|Piotr Wozniak|https://supermemo.guru/wiki/Abandon_early_math_instruction!|Abandon early math instruction!
The path to better education will be long and meandering. Our biggest enemy is the current system of education that imprints rich mythology in our minds. Without good support from neuroscience, even the brightest mind can stand in opposition to the truth. For details see: Problem of schooling|Piotr Wozniak|https://supermemo.guru/wiki/Abandon_early_math_instruction!|Abandon early math instruction!
By sketching the climbing pathways, we slow down or prevent the new generation from scaling new heights|Piotr Wozniak|https://supermemo.guru/wiki/Mountain_climb_metaphor_of_schooling|Mountain climb metaphor of schooling
Starting the school from reading and counting is an artifact of adult-centric view of education|Piotr Wozniak|https://supermemo.guru/wiki/Mountain_climb_metaphor_of_schooling|Mountain climb metaphor of schooling
Early academic instruction without the consent of the child is inhumane and a violation of a child's rights|Piotr Wozniak|https://supermemo.guru/wiki/Mountain_climb_metaphor_of_schooling|Mountain climb metaphor of schooling
Childhood passions can germinate and branch out in many directions. All they need is a conducive exploratory environment. Passions feed on time, love, and access to knowledge. The latter is pretty easy in the era of the Internet|Piotr Wozniak|https://supermemo.guru/wiki/Mountain_climb_metaphor_of_schooling|Mountain climb metaphor of schooling
Schooling defers the need for independent and creative thinking till adulthood|Piotr Wozniak|https://supermemo.guru/wiki/Mountain_climb_metaphor_of_schooling|Mountain climb metaphor of schooling
